TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
DPF1	0.140	4.444e-01	0.046	0.447	0.444	3.758e-01
PRAME	0.533	2.970e-01	0.242	0.428	0.444	3.758e-01
ZTA	0.300	3.822e-01	1.284	0.416	0.445	3.774e-01
LEO1	0.477	3.167e-01	0.445	0.426	0.445	3.782e-01
KLF8	0.772	2.201e-01	-0.136	0.430	0.447	3.822e-01
ZMYND8	0.256	3.991e-01	-0.626	0.467	0.447	3.822e-01
JUND	-1.238	8.921e-01	-0.229	0.613	0.448	3.846e-01
MXI1	0.022	4.911e-01	-1.289	0.539	0.448	3.846e-01
RB1	0.762	2.231e-01	-0.402	0.439	0.448	3.846e-01
YY1	-0.417	6.616e-01	-1.082	0.641	0.449	3.863e-01
CREB1	-0.211	5.837e-01	-1.266	0.590	0.450	3.879e-01
L3MBTL4	0.489	3.123e-01	0.260	0.427	0.452	3.919e-01
SLC22A2	0.458	3.233e-01	0.469	0.424	0.453	3.952e-01
SP3	0.843	1.996e-01	-0.327	0.432	0.453	3.960e-01
ZNF547	0.027	4.892e-01	-0.542	0.469	0.453	3.960e-01
GFI1B	0.260	3.975e-01	0.578	0.425	0.456	4.017e-01
ZNF558	0.409	3.414e-01	0.266	0.427	0.457	4.034e-01
HEY1	0.670	2.514e-01	-0.351	0.437	0.457	4.050e-01
ZNF611	0.450	3.263e-01	0.294	0.425	0.459	4.074e-01
KDM6B	-0.022	5.088e-01	-0.149	0.451	0.459	4.083e-01
DPF2	-0.204	5.809e-01	0.392	0.441	0.460	4.115e-01
KLF17	0.687	2.460e-01	-0.098	0.427	0.461	4.132e-01
ZNF788	0.214	4.152e-01	0.693	0.424	0.461	4.132e-01
TAF1	-0.308	6.209e-01	-1.481	0.601	0.462	4.140e-01
FAIRE	-0.981	8.368e-01	-0.799	0.732	0.462	4.148e-01
ZNF324	0.660	2.545e-01	-0.245	0.433	0.462	4.148e-01
ERCC3	0.288	3.867e-01	0.767	0.418	0.462	4.157e-01
SON	0.366	3.572e-01	0.462	0.422	0.465	4.206e-01
H3K18me1	0.082	4.673e-01	0.355	0.432	0.465	4.214e-01
ZNF140	-0.594	7.236e-01	0.470	0.450	0.466	4.231e-01
NOTCH1	-0.653	7.432e-01	-0.763	0.527	0.466	4.239e-01
WHSC1	0.308	3.791e-01	0.765	0.416	0.467	4.264e-01
NIPBL	-1.059	8.552e-01	-0.849	0.697	0.472	4.363e-01
TTF1	0.229	4.093e-01	0.699	0.418	0.472	4.363e-01
KLF1	0.496	3.100e-01	-0.519	0.441	0.472	4.379e-01
IRF4	-0.747	7.725e-01	0.112	0.458	0.474	4.413e-01
RPE	0.667	2.523e-01	-0.472	0.434	0.475	4.437e-01
SFPQ	0.034	4.864e-01	1.477	0.409	0.475	4.437e-01
SMN1	0.032	4.874e-01	1.469	0.409	0.477	4.479e-01
RELB	-0.226	5.895e-01	0.362	0.436	0.477	4.487e-01
ZNF331	0.027	4.891e-01	1.471	0.409	0.477	4.487e-01
ZNF197	0.465	3.209e-01	0.131	0.421	0.478	4.512e-01
SIRT6	0.189	4.250e-01	0.780	0.415	0.479	4.537e-01
ZEB1	0.257	3.984e-01	-0.782	0.454	0.480	4.554e-01
CCND2	0.384	3.506e-01	0.128	0.422	0.481	4.570e-01
ILK	0.023	4.910e-01	1.031	0.413	0.483	4.620e-01
ARNT	0.057	4.772e-01	0.306	0.427	0.484	4.637e-01
NFYA	0.380	3.519e-01	-0.733	0.446	0.486	4.687e-01
DEK	0.048	4.807e-01	-0.196	0.439	0.486	4.695e-01
RYBP	0.365	3.576e-01	0.036	0.422	0.490	4.779e-01
BACH2	0.069	4.723e-01	0.278	0.424	0.491	4.804e-01
ELF3	0.205	4.188e-01	0.453	0.417	0.491	4.804e-01
KLF11	0.564	2.864e-01	-0.294	0.425	0.493	4.846e-01
XBP1	-0.338	6.324e-01	-0.798	0.473	0.493	4.846e-01
ZNF518A	0.463	3.218e-01	-0.155	0.424	0.493	4.846e-01
PHF6	0.523	3.004e-01	-0.406	0.428	0.494	4.854e-01
H2AFX	-1.015	8.449e-01	-0.039	0.465	0.495	4.896e-01
ZNF71	0.471	3.190e-01	-0.613	0.435	0.498	4.946e-01
MRE11A	0.265	3.956e-01	0.130	0.419	0.500	5.005e-01
PSIP1	0.050	4.802e-01	0.507	0.416	0.500	5.005e-01
ZFP37	0.495	3.104e-01	-0.252	0.422	0.502	5.038e-01
NR4A1	-0.101	5.401e-01	0.310	0.425	0.503	5.071e-01
REPIN1	-0.208	5.822e-01	0.336	0.426	0.504	5.080e-01
TBL1XR1	-0.011	5.046e-01	-0.168	0.434	0.505	5.105e-01
ZNF675	0.036	4.856e-01	0.742	0.409	0.506	5.138e-01
HMGN3	0.433	3.324e-01	-0.306	0.425	0.507	5.147e-01
CCNT2	0.364	3.579e-01	-0.185	0.422	0.508	5.172e-01
EBF1	-0.489	6.875e-01	0.099	0.439	0.508	5.172e-01
ZNF486	-0.355	6.385e-01	1.144	0.412	0.508	5.172e-01
KLF12	0.519	3.018e-01	-0.582	0.428	0.508	5.180e-01
CHRM2	-0.347	6.357e-01	-0.723	0.460	0.509	5.197e-01
PCGF1	0.504	3.073e-01	-0.573	0.427	0.509	5.205e-01
PROX1	-0.272	6.071e-01	-0.051	0.435	0.510	5.222e-01
ZNF438	0.178	4.295e-01	0.082	0.419	0.510	5.222e-01
DAXX	0.082	4.672e-01	0.383	0.413	0.511	5.239e-01
ZNF644	0.232	4.083e-01	-0.047	0.419	0.513	5.297e-01
BRD3	-0.113	5.451e-01	-1.255	0.470	0.515	5.339e-01
KLF4	-1.388	9.175e-01	-1.001	0.652	0.515	5.339e-01
PTRF	-0.127	5.506e-01	0.735	0.411	0.515	5.339e-01
ZNF121	0.203	4.194e-01	-0.183	0.424	0.515	5.339e-01
GATA3	-4.183	1.000e+00	0.267	0.494	0.516	5.355e-01
SETX	0.328	3.714e-01	-0.210	0.420	0.516	5.364e-01
TRIM22	0.022	4.911e-01	0.351	0.414	0.518	5.397e-01
CD59	0.255	3.994e-01	-0.064	0.417	0.519	5.430e-01
BPTF	0.357	3.607e-01	-0.304	0.421	0.520	5.439e-01
FOS	-0.736	7.690e-01	0.141	0.439	0.520	5.439e-01
RBPJ	-1.076	8.591e-01	-0.851	0.496	0.521	5.464e-01
ID3	0.235	4.070e-01	-0.001	0.414	0.522	5.489e-01
NRF1	0.079	4.684e-01	-1.122	0.451	0.524	5.530e-01
ZNF445	-0.033	5.130e-01	0.630	0.407	0.524	5.530e-01
E2F4	0.483	3.147e-01	-0.873	0.432	0.525	5.555e-01
RAD51	-0.344	6.344e-01	-0.412	0.442	0.525	5.572e-01
SPI1	-1.685	9.540e-01	-0.055	0.480	0.528	5.621e-01
MBTD1	0.350	3.633e-01	-0.414	0.421	0.528	5.630e-01
CUX1	-0.806	7.898e-01	-0.043	0.442	0.529	5.646e-01
EGLN2	0.166	4.341e-01	-0.033	0.414	0.530	5.671e-01
PPARG	-1.250	8.943e-01	-0.156	0.462	0.532	5.712e-01
MBOAT4	0.292	3.851e-01	-0.320	0.419	0.532	5.721e-01
H3F3A	-2.641	9.959e-01	-0.470	0.556	0.534	5.754e-01
TGIF2	0.322	3.738e-01	-0.501	0.422	0.535	5.787e-01
SIX5	-0.623	7.333e-01	-1.170	0.477	0.537	5.820e-01
HIRA	-1.156	8.762e-01	-0.187	0.455	0.537	5.828e-01
MTA2	-0.287	6.130e-01	0.065	0.420	0.538	5.852e-01
TSHZ1	0.111	4.557e-01	-0.258	0.420	0.538	5.852e-01
SETDB1	-1.387	9.173e-01	-1.064	0.543	0.539	5.869e-01
ING2	0.221	4.126e-01	-0.249	0.416	0.539	5.877e-01
WWTR1	-0.005	5.018e-01	0.253	0.408	0.540	5.885e-01
HIF1A	-0.498	6.908e-01	-0.580	0.447	0.540	5.902e-01
CEBPA	-1.100	8.643e-01	-0.223	0.453	0.541	5.910e-01
CBFB	-0.658	7.447e-01	-1.236	0.478	0.542	5.934e-01
FOXO1	-1.035	8.496e-01	-0.060	0.445	0.543	5.951e-01
STAT3	-0.570	7.157e-01	-0.397	0.439	0.545	6.008e-01
ADNP	0.014	4.943e-01	-0.042	0.412	0.547	6.057e-01
PIAS1	-0.873	8.087e-01	0.715	0.420	0.547	6.057e-01
SMARCA5	-0.251	5.990e-01	0.035	0.417	0.547	6.057e-01
BCL11B	0.340	3.668e-01	-0.626	0.419	0.551	6.138e-01
CHD1	-1.073	8.583e-01	-1.724	0.541	0.552	6.162e-01
HHEX	-0.206	5.815e-01	0.334	0.405	0.552	6.162e-01
EP300	-7.162	1.000e+00	-0.969	0.944	0.556	6.251e-01
KRAB	-0.052	5.206e-01	-0.408	0.422	0.557	6.267e-01
E2F7	-0.182	5.722e-01	-0.238	0.419	0.559	6.299e-01
BHLHE40	-0.147	5.584e-01	-0.882	0.437	0.560	6.331e-01
RBL2	0.155	4.385e-01	-0.889	0.428	0.560	6.339e-01
AHR	-0.334	6.308e-01	0.678	0.397	0.564	6.419e-01
TFAP2C	-1.006	8.427e-01	-0.382	0.444	0.564	6.419e-01
HBP1	0.271	3.930e-01	-0.753	0.419	0.565	6.443e-01
SIN3A	-1.105	8.654e-01	-1.960	0.565	0.567	6.482e-01
MIER1	0.005	4.979e-01	-0.215	0.410	0.568	6.498e-01
NFIL3	-0.161	5.641e-01	0.154	0.402	0.569	6.514e-01
NFRKB	0.102	4.594e-01	-0.389	0.411	0.569	6.514e-01
ZNF781	-0.384	6.497e-01	0.507	0.400	0.570	6.546e-01
BRCA1	-1.160	8.770e-01	-1.794	0.521	0.570	6.553e-01
TCF7L2	-1.335	9.091e-01	-1.293	0.499	0.571	6.561e-01
SRC	-0.406	6.576e-01	-0.563	0.430	0.574	6.624e-01
PR	-3.666	9.999e-01	-0.307	0.480	0.579	6.741e-01
ZNF800	-0.308	6.209e-01	0.029	0.405	0.579	6.741e-01
ZNF750	-0.265	6.046e-01	0.170	0.399	0.582	6.795e-01
GLYR1	0.180	4.285e-01	-0.750	0.414	0.585	6.856e-01
ZFP64	-0.651	7.425e-01	-0.623	0.435	0.585	6.856e-01
SUPT5H	0.054	4.785e-01	-1.069	0.426	0.586	6.879e-01
ZNF671	-0.031	5.125e-01	-0.312	0.407	0.587	6.894e-01
ORC1	0.194	4.231e-01	-0.809	0.415	0.587	6.902e-01
PHF8	-1.170	8.791e-01	-1.563	0.484	0.591	6.977e-01
FOXM1	-1.210	8.869e-01	-1.329	0.479	0.591	6.985e-01
PGR	-0.336	6.317e-01	0.208	0.397	0.591	6.985e-01
NR3C1	-8.389	1.000e+00	-0.718	0.494	0.592	6.992e-01
STAT5A	-0.991	8.392e-01	-0.616	0.440	0.593	7.022e-01
INSM2	0.143	4.433e-01	-0.770	0.412	0.596	7.075e-01
IKZF1	-1.719	9.572e-01	-0.279	0.452	0.596	7.089e-01
RFX1	-0.809	7.907e-01	-0.479	0.430	0.597	7.097e-01
SAP30	-0.815	7.924e-01	-1.485	0.457	0.597	7.097e-01
SETD1A	-0.093	5.370e-01	-1.057	0.426	0.598	7.119e-01
THAP1	0.143	4.430e-01	-0.855	0.413	0.598	7.126e-01
ORC2	-0.072	5.287e-01	-0.432	0.405	0.599	7.134e-01
CBX5	-0.794	7.864e-01	-0.203	0.419	0.599	7.141e-01
TCF21	-0.757	7.754e-01	0.002	0.411	0.599	7.141e-01
ESR1	-16.990	1.000e+00	-0.720	0.488	0.599	7.149e-01
ZNF589	-0.120	5.477e-01	-0.475	0.409	0.599	7.149e-01
C17orf49	-0.143	5.567e-01	-1.185	0.429	0.601	7.178e-01
KDM4B	-0.035	5.139e-01	-0.912	0.419	0.602	7.200e-01
HLTF	-0.083	5.332e-01	-0.510	0.408	0.602	7.207e-01
MYB	-1.210	8.868e-01	-0.140	0.429	0.604	7.244e-01
ARRB1	-0.393	6.530e-01	-0.153	0.401	0.609	7.330e-01
CENPA	-1.739	9.590e-01	-0.013	0.438	0.611	7.373e-01
POLR2A	-9.111	1.000e+00	-1.764	0.683	0.611	7.373e-01
RUNX3	-0.377	6.470e-01	-0.035	0.395	0.614	7.430e-01
ZNF304	-0.395	6.538e-01	-0.015	0.395	0.615	7.451e-01
BCAT1	-0.315	6.234e-01	-0.489	0.408	0.615	7.458e-01
LANA	-0.400	6.555e-01	-1.917	0.450	0.617	7.479e-01
NELFE	-3.050	9.989e-01	-1.919	0.663	0.617	7.486e-01
ZNF318	-0.667	7.475e-01	-0.465	0.417	0.618	7.507e-01
CSNK2A1	0.104	4.586e-01	-1.066	0.412	0.618	7.514e-01
CBX8	-0.078	5.312e-01	-1.015	0.417	0.619	7.521e-01
POU2F2	-0.394	6.534e-01	-0.186	0.399	0.619	7.521e-01
MEF2A	-0.621	7.327e-01	-0.462	0.414	0.622	7.590e-01
ZNF274	-1.136	8.720e-01	0.186	0.410	0.622	7.590e-01
ZKSCAN8	-0.223	5.882e-01	-0.579	0.404	0.623	7.604e-01
ZNF605	-0.365	6.426e-01	-0.200	0.396	0.625	7.631e-01
KLF13	-0.073	5.290e-01	-0.960	0.412	0.625	7.638e-01
KLF7	-0.096	5.382e-01	-1.306	0.422	0.625	7.638e-01
JARID2	-3.105	9.990e-01	-0.739	0.469	0.625	7.645e-01
ZBTB33	-1.444	9.256e-01	-1.807	0.485	0.625	7.645e-01
SF1	-0.622	7.331e-01	0.250	0.386	0.626	7.658e-01
JUNB	-1.743	9.594e-01	-1.320	0.480	0.627	7.665e-01
RCOR1	-1.010	8.437e-01	-1.545	0.453	0.627	7.665e-01
GABP	-0.058	5.230e-01	-1.144	0.416	0.627	7.672e-01
NR1H3	-0.541	7.057e-01	-0.467	0.410	0.627	7.672e-01
PAF1	-1.033	8.491e-01	-1.583	0.453	0.628	7.699e-01
UBE2I	-0.219	5.867e-01	-0.568	0.400	0.628	7.699e-01
BCOR	-0.432	6.672e-01	-0.769	0.417	0.630	7.719e-01
ZNF649	-0.563	7.131e-01	0.017	0.388	0.630	7.725e-01
ZNF280A	-0.489	6.877e-01	-0.077	0.391	0.632	7.765e-01
CTRL	-0.582	7.197e-01	-0.310	0.404	0.633	7.772e-01
ZNF202	-1.006	8.427e-01	-0.927	0.435	0.633	7.772e-01
DCP1A	-0.009	5.037e-01	-1.125	0.412	0.633	7.785e-01
KMT2A	-1.532	9.372e-01	-1.558	0.475	0.633	7.785e-01
MLLT3	-0.275	6.084e-01	-0.507	0.399	0.634	7.805e-01
BCLAF1	-0.405	6.571e-01	-0.711	0.411	0.635	7.824e-01
GTF2A2	-0.362	6.412e-01	-0.362	0.396	0.637	7.844e-01
CCDC101	-0.414	6.605e-01	-1.215	0.425	0.637	7.857e-01
HDAC8	-0.324	6.271e-01	-0.728	0.406	0.638	7.870e-01
ZNF584	-0.323	6.266e-01	-0.684	0.404	0.639	7.889e-01
CENPT	-0.831	7.972e-01	0.422	0.376	0.640	7.908e-01
PPARGC1A	-0.208	5.825e-01	-0.736	0.401	0.640	7.908e-01
RUVBL1	-0.036	5.144e-01	-1.010	0.407	0.640	7.908e-01
RUNX1	-5.029	1.000e+00	-1.056	0.475	0.641	7.921e-01
ZNF639	-0.348	6.362e-01	-1.123	0.418	0.642	7.934e-01
KDM6A	-0.432	6.673e-01	-0.259	0.393	0.643	7.953e-01
GABPA	-2.968	9.985e-01	-2.074	0.558	0.645	7.984e-01
GTF3C2	-0.376	6.464e-01	-1.623	0.428	0.646	8.009e-01
FOXK1	-1.085	8.610e-01	-0.917	0.432	0.647	8.028e-01
CREB3	-0.420	6.627e-01	-0.534	0.399	0.648	8.040e-01
CDK12	-0.273	6.076e-01	-0.717	0.399	0.649	8.058e-01
ETS1	-3.208	9.993e-01	-2.070	0.547	0.649	8.058e-01
TRAF7	-0.353	6.380e-01	-1.231	0.417	0.651	8.083e-01
ATF1	-0.864	8.063e-01	-1.502	0.437	0.651	8.095e-01
MED1	-3.372	9.996e-01	-2.327	0.609	0.652	8.107e-01
LMO1	-0.483	6.854e-01	-0.389	0.391	0.653	8.125e-01
FUS	-0.627	7.348e-01	-0.279	0.394	0.655	8.149e-01
BRD7	-0.306	6.204e-01	-0.738	0.397	0.656	8.161e-01
MEIS1	-1.063	8.561e-01	0.101	0.394	0.656	8.167e-01
BRD4	-4.041	1.000e+00	-2.165	0.561	0.656	8.173e-01
ZNF83	-0.399	6.551e-01	-1.241	0.418	0.656	8.173e-01
HCFC1	-1.117	8.680e-01	-1.563	0.443	0.660	8.226e-01
CREM	-0.793	7.861e-01	-1.092	0.422	0.661	8.243e-01
OVOL3	-0.366	6.427e-01	-1.190	0.413	0.661	8.243e-01
INO80	-0.901	8.162e-01	-1.741	0.439	0.661	8.254e-01
ERG	-2.349	9.906e-01	-1.939	0.487	0.662	8.260e-01
HINFP	-0.342	6.336e-01	-0.964	0.404	0.663	8.277e-01
ZSCAN29	-0.432	6.671e-01	-1.038	0.410	0.663	8.277e-01
KLF5	-0.960	8.314e-01	-1.364	0.432	0.663	8.283e-01
POLR2M	-0.230	5.910e-01	-1.321	0.409	0.666	8.322e-01
DEAF1	-0.139	5.552e-01	-1.212	0.403	0.667	8.334e-01
FOXJ2	-0.399	6.551e-01	-0.906	0.402	0.667	8.345e-01
ZNF264	-0.833	7.975e-01	-1.787	0.437	0.668	8.356e-01
HDAC1	-1.709	9.563e-01	-1.653	0.461	0.669	8.367e-01
TAF3	-0.096	5.381e-01	-1.350	0.405	0.670	8.383e-01
PRKDC	-0.768	7.788e-01	-0.645	0.402	0.670	8.389e-01
ELF1	-1.076	8.591e-01	-1.780	0.443	0.671	8.400e-01
EPAS1	-0.594	7.238e-01	-0.430	0.387	0.671	8.400e-01
HDAC3	-1.024	8.470e-01	-0.266	0.399	0.673	8.427e-01
DNMT1	-0.755	7.748e-01	-1.022	0.411	0.677	8.480e-01
CDK6	-0.099	5.395e-01	-1.494	0.404	0.677	8.485e-01
LIN9	-0.642	7.395e-01	-0.445	0.385	0.678	8.501e-01
ZFP28	-1.180	8.811e-01	0.083	0.383	0.684	8.577e-01
HDAC4	-0.577	7.180e-01	-0.662	0.387	0.685	8.597e-01
CDC5L	-0.568	7.148e-01	-0.927	0.399	0.686	8.612e-01
CSDE1	-0.915	8.198e-01	-1.066	0.414	0.687	8.622e-01
HSF1	-1.332	9.086e-01	-2.625	0.467	0.687	8.622e-01
MEF2D	-0.754	7.744e-01	-0.614	0.391	0.687	8.622e-01
ZNF248	-0.939	8.262e-01	-0.111	0.371	0.687	8.622e-01
HDGF	-1.310	9.050e-01	-1.259	0.433	0.688	8.627e-01
NCOA1	-0.582	7.198e-01	-0.977	0.400	0.688	8.636e-01
E2F8	-0.323	6.267e-01	-1.171	0.397	0.689	8.646e-01
CDK7	-0.778	7.818e-01	-1.093	0.409	0.690	8.661e-01
ETV4	-0.783	7.833e-01	-1.418	0.416	0.691	8.675e-01
HOXA4	-0.214	5.848e-01	-1.561	0.400	0.695	8.718e-01
TARDBP	-1.054	8.541e-01	-1.255	0.421	0.695	8.718e-01
TLX1	-0.841	7.999e-01	-0.355	0.376	0.695	8.727e-01
JMJD1C	-1.163	8.776e-01	-0.598	0.405	0.696	8.732e-01
MNT	-0.615	7.307e-01	-1.435	0.410	0.696	8.736e-01
ZMYM3	-1.716	9.570e-01	-0.927	0.431	0.696	8.736e-01
POLR2B	-0.344	6.347e-01	-1.634	0.405	0.700	8.787e-01
BCL6	-2.152	9.843e-01	-1.049	0.436	0.701	8.791e-01
UBTF	-0.810	7.911e-01	-1.825	0.425	0.701	8.791e-01
ZNF391	-0.462	6.779e-01	-1.814	0.416	0.701	8.791e-01
ZNF585B	-0.791	7.855e-01	-0.716	0.389	0.701	8.791e-01
HES1	-0.737	7.694e-01	-1.130	0.404	0.702	8.805e-01
KDM4C	-0.303	6.189e-01	-1.492	0.398	0.702	8.805e-01
PARP1	-0.877	8.099e-01	-1.636	0.421	0.703	8.827e-01
PYGO2	-0.916	8.202e-01	-0.547	0.386	0.705	8.840e-01
WRNIP1	-0.578	7.185e-01	-0.921	0.387	0.706	8.853e-01
CBX6	-0.673	7.494e-01	-1.455	0.409	0.707	8.870e-01
GTF2B	-1.337	9.095e-01	-1.592	0.434	0.707	8.870e-01
IRF1	-2.283	9.888e-01	-1.466	0.443	0.709	8.887e-01
FOSL2	-7.943	1.000e+00	-0.964	0.439	0.711	8.913e-01
NR1H2	-1.037	8.501e-01	-0.934	0.405	0.711	8.913e-01
ZNF792	-0.438	6.692e-01	-1.630	0.405	0.712	8.930e-01
KAT5	-0.823	7.947e-01	-1.415	0.409	0.713	8.934e-01
ETV1	-0.641	7.392e-01	-1.858	0.416	0.714	8.946e-01
CREBBP	-2.482	9.935e-01	-2.520	0.475	0.714	8.950e-01
ZSCAN23	-0.383	6.493e-01	-1.631	0.400	0.715	8.958e-01
ZNF768	-0.827	7.959e-01	-0.691	0.377	0.718	8.995e-01
CDK9	-3.031	9.988e-01	-2.066	0.462	0.719	8.999e-01
ZNF586	-1.182	8.814e-01	-0.072	0.357	0.720	9.014e-01
ZNF488	-1.017	8.454e-01	-0.695	0.388	0.721	9.022e-01
NFKB1	-1.254	8.952e-01	-0.857	0.407	0.722	9.038e-01
TRRAP	-0.774	7.806e-01	-1.859	0.414	0.725	9.064e-01
BANF1	-1.687	9.542e-01	-0.557	0.407	0.725	9.068e-01
H2AFZ	-1.170	8.790e-01	-2.085	0.433	0.727	9.080e-01
SRSF3	-0.516	6.970e-01	-1.529	0.397	0.727	9.087e-01
ZNF623	-0.426	6.651e-01	-1.646	0.398	0.727	9.087e-01
CBX4	-0.368	6.437e-01	-1.674	0.396	0.728	9.098e-01
ZSCAN5A	-0.554	7.102e-01	-1.655	0.400	0.728	9.098e-01
BRDU	-2.937	9.983e-01	-0.142	0.401	0.729	9.102e-01
RELA	-8.483	1.000e+00	-1.894	0.455	0.729	9.102e-01
PMEL	-0.845	8.009e-01	-1.311	0.400	0.731	9.127e-01
AFF4	-1.752	9.601e-01	-2.076	0.446	0.736	9.170e-01
RXRG	-1.468	9.289e-01	-0.946	0.409	0.737	9.181e-01
CDK8	-1.515	9.351e-01	-1.720	0.429	0.738	9.191e-01
GATAD2B	-1.455	9.272e-01	-2.369	0.443	0.739	9.201e-01
GRHL2	-2.686	9.964e-01	-0.401	0.405	0.739	9.201e-01
TAT	-1.055	8.542e-01	-0.602	0.365	0.739	9.201e-01
E2F3	-0.369	6.441e-01	-1.849	0.396	0.740	9.205e-01
ESRRA	-0.937	8.255e-01	-2.187	0.423	0.740	9.205e-01
SOX9	-0.645	7.407e-01	-1.920	0.408	0.740	9.208e-01
STAT1	-1.672	9.527e-01	-1.506	0.425	0.743	9.232e-01
ZNF287	-1.163	8.775e-01	-0.462	0.358	0.744	9.245e-01
COPS2	-0.581	7.195e-01	-1.549	0.387	0.745	9.258e-01
EPC1	-0.838	7.989e-01	-1.406	0.394	0.746	9.264e-01
RAG2	-0.595	7.239e-01	-1.553	0.387	0.749	9.290e-01
IRAK4	-0.512	6.958e-01	-1.779	0.390	0.750	9.299e-01
LMO2	-1.844	9.674e-01	-0.500	0.397	0.752	9.312e-01
FOXD2	-0.537	7.042e-01	-1.786	0.389	0.754	9.327e-01
PML	-2.541	9.945e-01	-1.733	0.434	0.755	9.339e-01
RARA	-1.857	9.683e-01	-2.065	0.439	0.756	9.342e-01
DLX2	-1.069	8.576e-01	-0.754	0.364	0.757	9.357e-01
PRDM2	-0.796	7.870e-01	-1.780	0.397	0.759	9.369e-01
ZKSCAN1	-1.342	9.102e-01	-2.033	0.425	0.760	9.381e-01
NFKB2	-1.272	8.984e-01	-0.690	0.373	0.761	9.383e-01
EBNA3	-1.190	8.829e-01	-0.617	0.356	0.763	9.403e-01
EBNA3C	-1.726	9.578e-01	-0.384	0.374	0.766	9.420e-01
MECOM	-0.864	8.063e-01	-1.285	0.375	0.767	9.428e-01
ASCL2	-0.644	7.401e-01	-1.774	0.385	0.767	9.431e-01
FOXK2	-1.514	9.349e-01	-1.539	0.413	0.769	9.442e-01
HJURP	-0.809	7.907e-01	-1.524	0.377	0.769	9.444e-01
ZNF175	-1.648	9.503e-01	-1.253	0.406	0.775	9.486e-01
ZBTB16	-0.774	7.805e-01	-1.722	0.379	0.776	9.491e-01
TSC22D4	-2.510	9.940e-01	-1.062	0.409	0.779	9.516e-01
VEZF1	-0.763	7.773e-01	-2.010	0.392	0.779	9.516e-01
DNMT3A	-1.325	9.074e-01	-1.982	0.414	0.782	9.531e-01
BCL3	-5.308	1.000e+00	-2.748	0.449	0.782	9.535e-01
IRF3	-0.879	8.103e-01	-1.781	0.387	0.783	9.538e-01
STAT2	-1.497	9.328e-01	-1.606	0.408	0.783	9.538e-01
NPAT	-0.648	7.414e-01	-1.986	0.385	0.785	9.552e-01
BATF3	-1.341	9.100e-01	-0.641	0.345	0.786	9.561e-01
BARX2	-0.856	8.040e-01	-1.683	0.375	0.788	9.570e-01
PTPN11	-0.616	7.311e-01	-2.126	0.386	0.790	9.584e-01
RBCK1	-0.836	7.984e-01	-1.785	0.376	0.791	9.590e-01
KDM5C	-0.966	8.329e-01	-2.299	0.405	0.793	9.599e-01
ZFX	-1.248	8.940e-01	-1.809	0.400	0.793	9.601e-01
MED12	-1.419	9.220e-01	-1.535	0.399	0.793	9.603e-01
ZBTB11	-1.511	9.346e-01	-1.773	0.408	0.794	9.605e-01
HOXA2	-0.941	8.267e-01	-1.645	0.371	0.795	9.614e-01
NELFA	-1.264	8.969e-01	-1.833	0.400	0.798	9.626e-01
ZNF641	-0.915	8.199e-01	-1.958	0.386	0.800	9.639e-01
KLF10	-1.121	8.688e-01	-1.948	0.397	0.801	9.647e-01
GLI4	-0.909	8.184e-01	-2.072	0.388	0.802	9.650e-01
NBN	-2.385	9.915e-01	-2.149	0.426	0.802	9.652e-01
ZFAT	-1.215	8.879e-01	-1.087	0.355	0.803	9.654e-01
OLFM2	-1.935	9.735e-01	-0.572	0.354	0.804	9.660e-01
RUNX1T1	-2.155	9.844e-01	-0.943	0.387	0.805	9.664e-01
HMG20A	-1.394	9.184e-01	-0.805	0.339	0.805	9.666e-01
MEF2C	-1.174	8.797e-01	-1.241	0.357	0.805	9.666e-01
PAX5	-2.710	9.966e-01	-0.904	0.391	0.805	9.668e-01
TERF1	-1.301	9.034e-01	-0.995	0.349	0.805	9.668e-01
CAMTA2	-1.064	8.562e-01	-1.541	0.364	0.806	9.670e-01
MCM3	-1.178	8.805e-01	-1.588	0.378	0.806	9.670e-01
PRDM12	-1.398	9.190e-01	-0.794	0.339	0.806	9.674e-01
NR2C2	-2.342	9.904e-01	-1.854	0.415	0.808	9.681e-01
DNMT3B	-1.173	8.796e-01	-2.058	0.398	0.809	9.688e-01
NCAPG2	-1.416	9.216e-01	-0.819	0.337	0.810	9.692e-01
ASH2L	-1.446	9.259e-01	-1.237	0.374	0.812	9.699e-01
CALU	-1.718	9.571e-01	-0.816	0.360	0.812	9.699e-01
CPSF3L	-1.095	8.632e-01	-2.054	0.391	0.812	9.699e-01
EZH1	-1.175	8.800e-01	-1.939	0.392	0.812	9.699e-01
LYL1	-3.104	9.990e-01	-0.670	0.376	0.812	9.699e-01
ZNF16	-1.346	9.108e-01	-1.525	0.382	0.813	9.706e-01
ZBTB1	-0.850	8.024e-01	-2.279	0.388	0.813	9.708e-01
ZNF239	-1.147	8.742e-01	-1.975	0.389	0.813	9.708e-01
TBX21	-2.044	9.795e-01	-0.910	0.371	0.816	9.718e-01
KDM3A	-1.193	8.836e-01	-1.785	0.382	0.816	9.720e-01
GTF2E2	-0.928	8.233e-01	-1.997	0.371	0.816	9.722e-01
GATAD1	-0.903	8.168e-01	-2.368	0.390	0.817	9.725e-01
KAT8	-1.597	9.449e-01	-1.650	0.396	0.818	9.728e-01
